Time,Bbr_1_Bps,Bbr_2_Bps,Bbr_1_PktLoss,Bbr_2_PktLoss,Bbr_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
51.4,765000,476640,176,181,94780,158728,0.948824
51.5,750000,510000,175,184,94780,158728,0.964989
51.6,705000,540000,179,184,94260,158728,0.982739
51.7,735000,510000,178,187,94260,158728,0.968372
51.8,705000,540000,177,188,94260,158728,0.982739
51.9,690000,555000,179,187,94260,159018,0.988379
52,735000,525000,177,189,94260,159613,0.972973
52.1,675000,570000,179,188,94260,159613,0.992937
52.2,690000,555000,171,193,83467,162509,0.988379
52.3,645000,600000,173,199,86363,161290,0.998695
52.4,645000,608560,171,181,83467,163328,0.999156
52.5,720000,526320,168,177,83467,170491,0.97642
52.6,735000,510000,166,183,78401,170491,0.968372
52.7,675000,585000,168,183,81297,170491,0.994924
52.8,675000,570000,163,185,78401,169955,0.992937
52.9,630000,615000,168,183,78401,169955,0.999855
53,675000,570000,168,185,78401,169955,0.992937
53.1,660000,585000,168,185,78401,172242,0.996384
53.2,675000,585000,166,186,78401,172242,0.994924
53.3,630000,615000,158,186,5792,175138,0.999855
53.4,480000,765000,129,188,5792,175138,0.950207
53.5,105000,939800,126,153,5792,178503,0.610348
53.6,105000,508920,127,161,5792,186810,0.697895
53.7,375000,630000,139,162,76021,186810,0.939514
53.8,630000,615000,141,165,76021,186810,0.999855
53.9,630000,615000,144,167,77369,186810,0.999855
54,675000,570000,146,172,77715,186810,0.992937
54.1,615000,645000,151,173,81916,186810,0.999433
54.2,645000,600000,156,176,81916,186810,0.998695
54.3,660000,585000,160,181,81916,186810,0.996384
