Time,NewReno_1_Bps,Bbr_2_Bps,NewReno_1_PktLoss,Bbr_2_PktLoss,NewReno_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
39,720000,529400,84,66,114440,160848,0.977257
39.1,780000,461960,82,69,114890,160848,0.938459
39.2,765000,480000,83,74,115358,160848,0.950207
39.3,735000,525000,84,79,115808,160848,0.972973
39.4,705000,540000,84,82,116222,157858,0.982739
39.5,735000,516040,85,84,116662,157858,0.970278
39.6,720000,526800,85,86,117070,157858,0.976551
39.7,720000,518320,86,83,117478,157842,0.97416
39.8,720000,527840,86,79,117886,157842,0.976835
39.9,735000,523680,85,73,118294,5792,0.972586
40,720000,524320,85,35,118702,5792,0.975867
40.1,945000,310840,77,10,119161,5792,0.796817
40.2,1.245e+06,0,78,13,119875,5792,0.5
40.3,1.2e+06,45000,79,10,120555,5792,0.537447
40.4,1.245e+06,0,78,42,121252,164146,0.5
40.5,975000,270000,86,60,121864,167042,0.757199
40.6,855000,405000,87,68,122357,198898,0.886878
40.7,780000,465000,87,72,122799,205574,0.939836
40.8,750000,495000,90,74,123241,205574,0.959738
40.9,750000,495000,88,78,123631,205574,0.959738
41,735000,525000,89,87,124031,208470,0.972973
41.1,750000,499160,89,97,124431,208470,0.96124
41.2,690000,547200,92,76,121632,205574,0.986853
41.3,750000,499400,47,59,60816,205574,0.961325
41.4,455480,795000,60,39,60850,105384,0.931343
41.5,826840,420000,51,13,61700,130000,0.903775
41.6,1.2e+06,20240,44,37,62888,120779,0.516862
41.7,855000,405000,52,45,63932,131387,0.886878
41.8,765000,480000,53,48,64764,159780,0.950207
41.9,735000,510000,55,49,65563,159780,0.968372
42,735000,510000,54,50,66307,159780,0.968372
42.1,720000,525000,57,49,67082,159535,0.976056
42.2,750000,510000,57,50,67850,159535,0.964989
42.3,735000,510000,57,53,68570,162431,0.968372
42.4,720000,525000,57,61,69290,162431,0.976056
42.5,660000,585000,60,55,69978,162845,0.996384
42.6,690000,570000,58,45,70616,172649,0.991011
42.7,795000,450000,58,54,71370,176972,0.928687
42.8,720000,525000,58,58,72066,176972,0.976056
42.9,675000,570000,60,59,72719,176972,0.992937
43,690000,555000,62,61,73391,175860,0.988379
43.1,675000,585000,62,61,74007,175860,0.994924
43.2,675000,570000,63,62,74651,175860,0.992937
43.3,675000,570000,62,63,75254,175860,0.992937
43.4,660000,585000,63,63,75848,176090,0.996384
43.5,675000,585000,64,64,76469,178986,0.994924
43.6,675000,570000,64,75,77063,178986,0.992937
43.7,615000,630000,65,72,77630,176090,0.999855
43.8,645000,609040,64,54,78177,182665,0.999178
43.9,735000,510000,64,61,78801,186241,0.968372
44,705000,540000,65,66,79425,186241,0.982739
44.1,660000,585000,66,69,79997,186241,0.996384
44.2,660000,585000,66,71,80569,186241,0.996384
44.3,645000,615000,68,71,81122,186241,0.999433
44.4,645000,600000,67,73,81647,186241,0.998695
44.5,630000,619040,69,73,82197,186241,0.999923
44.6,645000,599040,69,75,82722,186241,0.998637
44.7,660000,587480,67,76,83247,189137,0.996632
44.8,630000,618040,69,87,83797,189137,0.999908
44.9,630000,619920,70,80,84304,186241,0.999935
45,645000,601880,71,59,84832,186241,0.998805
45.1,735000,518280,68,65,85384,186577,0.970966
45.2,705000,540000,70,71,85960,186577,0.982739
45.3,675000,570000,69,74,86488,186577,0.992937
45.4,660000,600000,70,76,87016,186577,0.997738
45.5,645000,589960,71,76,87537,186577,0.998018
45.6,645000,615240,72,75,88043,186577,0.999443
45.7,660000,589800,73,76,88549,186577,0.996855
45.8,660000,575320,73,78,89055,186577,0.995323
45.9,660000,597440,73,79,89561,189473,0.997531
46,660000,577760,74,91,90067,189473,0.995605
46.1,660000,588160,74,79,90573,186577,0.996698
46.2,660000,598920,74,61,91079,186577,0.997652
46.3,735000,506640,72,68,91589,186489,0.967281
46.4,705000,540000,75,73,92139,186489,0.982739
46.5,690000,570000,73,77,92623,186489,0.991011
46.6,660000,589880,74,77,93107,177784,0.996863
46.7,675000,570760,75,76,93613,177784,0.993047
46.8,660000,585680,75,79,94097,177784,0.996453
46.9,675000,565880,77,80,94603,177784,0.992326
47,690000,567920,75,79,95087,177784,0.990669
47.1,660000,588400,78,79,95580,177784,0.996721
47.2,675000,571800,77,87,96042,180680,0.993195
47.3,675000,578120,78,79,96525,177784,0.994059
47.4,675000,566640,77,63,96987,177784,0.992441
47.5,750000,504840,76,67,97491,177288,0.963233
47.6,735000,510000,77,72,98016,177288,0.968372
47.7,690000,555000,78,75,98499,177288,0.988379
47.8,690000,555000,78,80,98982,177288,0.988379
47.9,675000,576920,79,79,99465,177288,0.9939
48,690000,558040,80,81,99944,177288,0.988944
48.1,690000,554000,80,84,100404,177288,0.988189
48.2,690000,559600,80,83,100864,177288,0.989228
48.3,675000,574080,81,83,101324,177288,0.993514
48.4,690000,563680,82,87,101784,180184,0.98995
48.5,705000,541600,81,86,102244,177288,0.983109
48.6,690000,551280,81,69,102704,177376,0.987665
48.7,720000,525800,82,68,103184,177872,0.976277
48.8,765000,495000,81,74,103684,177872,0.956098
48.9,690000,555000,81,79,104144,177872,0.988379
49,690000,555000,82,83,104604,174351,0.988379
49.1,705000,545680,83,83,105072,174351,0.984032
49.2,690000,558560,83,83,105509,174351,0.989039
49.3,690000,550440,84,84,105946,174351,0.9875
49.4,720000,538080,84,83,106402,174351,0.979519
49.5,705000,543560,83,86,106839,174351,0.983556
49.6,690000,560840,84,89,107276,177247,0.98945
49.7,690000,549720,86,85,107732,174351,0.987358
49.8,705000,551640,85,69,108169,174351,0.985325
49.9,750000,487680,84,68,108625,174351,0.95701
50,765000,495000,85,74,109119,174351,0.956098
50.1,720000,525000,85,80,109575,174351,0.976056
50.2,690000,555000,87,85,110031,166940,0.988379
50.3,720000,533000,86,83,110462,166940,0.978212
50.4,705000,540720,87,79,110894,166940,0.982906
50.5,720000,530000,87,82,111326,166940,0.977418
50.6,705000,544280,87,81,111740,166940,0.983719
50.7,720000,525920,87,82,112172,166940,0.97631
50.8,705000,543760,88,88,112604,169836,0.983601
50.9,720000,529080,87,89,113018,166940,0.977171
51,705000,545280,88,71,113450,166940,0.983943
51.1,735000,500360,89,67,113900,166532,0.96518
51.2,810000,450000,87,73,114368,166940,0.924528
51.3,720000,525000,90,75,114818,166940,0.976056
51.4,735000,510000,89,81,115250,166940,0.968372
51.5,720000,525000,89,86,115682,166940,0.976056
51.6,720000,534680,90,87,116114,166940,0.97865
51.7,720000,529080,90,79,116543,5792,0.977171
51.8,705000,541800,91,38,116951,5792,0.983155
51.9,915000,333240,83,11,117393,5792,0.821547
52,1.245e+06,0,82,15,118090,5792,0.5
52.1,1.185e+06,60000,84,11,118770,5792,0.550503
52.2,1.26e+06,0,84,40,119484,208470,0.5
52.3,1.005e+06,240000,91,61,120113,208470,0.725922
52.4,855000,390000,93,77,120606,210008,0.87758
52.5,765000,480000,92,86,121031,210008,0.950207
52.6,675000,570000,95,92,121439,210008,0.992937
52.7,765000,492560,93,100,121847,210008,0.95517
52.8,735000,514920,76,98,120184,210008,0.96993
52.9,710960,539600,32,88,59368,128000,0.98157
53,450000,796320,49,24,59508,125104,0.928321
53.1,1.08e+06,121200,49,18,60744,97611,0.610826
53.2,1.05e+06,165000,56,43,62026,97611,0.653356
53.3,825000,420000,56,50,62917,123675,0.904306
53.4,735000,510000,58,52,63736,160500,0.968372
53.5,720000,525000,60,52,64536,160500,0.976056
