Time,Bbr_1_Bps,Cubic_2_Bps,Bbr_1_PktLoss,Cubic_2_PktLoss,Bbr_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
45.1,585000,659920,47,83,72154,133216,0.996391
45.2,615000,638400,44,83,72154,133216,0.999652
45.3,555000,691680,45,79,72154,133216,0.988123
45.4,585000,665040,47,83,72154,133216,0.995917
45.5,600000,643520,48,83,72154,133216,0.998777
45.6,600000,654800,49,83,74914,133216,0.998096
45.7,615000,637000,41,84,72018,133216,0.999691
45.8,555000,693080,45,79,72018,133216,0.987908
45.9,600000,638400,46,85,72018,133216,0.999039
46,585000,670160,47,81,72018,133216,0.995418
46.1,600000,638400,48,85,72018,133216,0.999039
46.2,600000,659920,43,83,72018,133216,0.997743
46.3,570000,680040,46,82,72018,133216,0.99231
46.4,615000,628520,46,85,72018,133216,0.999882
46.5,585000,659920,47,83,74914,133216,0.996391
46.6,600000,643520,42,85,72018,133216,0.998777
46.7,555000,691680,46,79,72052,133216,0.988123
46.8,615000,633280,46,85,72052,133216,0.999786
46.9,570000,686560,48,79,72052,133216,0.991469
47,615000,637000,48,84,72052,133216,0.999691
47.1,600000,644920,43,83,72104,133216,0.9987
47.2,555000,686560,47,81,72104,133216,0.988896
47.3,630000,622000,46,85,72104,133216,0.999959
47.4,585000,659920,47,83,75000,133216,0.996391
47.5,615000,638400,41,83,72104,133216,0.999652
47.6,525000,718320,46,79,72104,133216,0.976395
47.7,615000,638400,46,83,72104,133216,0.999652
47.8,585000,659920,48,81,72104,133216,0.996391
47.9,615000,638400,49,83,75000,133216,0.999652
48,615000,622000,41,85,72104,133216,0.999968
48.1,540000,708080,46,83,72104,133216,0.982187
48.2,615000,638400,46,83,72104,133216,0.999652
48.3,585000,670160,46,83,72104,133216,0.995418
48.4,600000,638400,43,83,71536,133216,0.999039
48.5,555000,701560,45,78,71926,133216,0.986579
48.6,600000,644920,46,83,71926,133216,0.9987
48.7,600000,643520,47,83,72575,133216,0.998777
48.8,600000,653400,49,84,75471,133216,0.998188
48.9,615000,628520,42,85,73672,133216,0.999882
49,540000,708080,48,81,73672,133216,0.982187
49.1,630000,616880,48,85,73672,133216,0.999889
49.2,585000,665040,48,83,73672,133216,0.995917
49.3,600000,643520,47,83,73672,133216,0.998777
49.4,600000,659920,46,79,73672,133216,0.997743
49.5,600000,643520,47,85,73672,133216,0.998777
49.6,600000,653400,48,82,73672,133216,0.998188
49.7,600000,643520,50,84,76568,133216,0.998777
49.8,615000,623400,43,85,73672,133216,0.999954
49.9,555000,701560,48,80,73672,133216,0.986579
50,630000,623400,47,85,73672,133216,0.999972
50.1,570000,665040,49,81,73672,133216,0.994113
50.2,615000,643520,46,83,72250,133216,0.999487
50.3,585000,659920,44,81,72250,133216,0.996391
50.4,570000,670160,47,83,72250,133216,0.993519
50.5,615000,638400,47,83,72250,133216,0.999652
50.6,585000,659920,48,83,75146,133216,0.996391
50.7,615000,637000,43,84,72250,133216,0.999691
50.8,555000,693080,46,79,72250,133216,0.987908
50.9,615000,638400,46,83,72250,133216,0.999652
51,585000,658520,47,82,72250,133216,0.996517
51.1,600000,650040,49,83,75146,133216,0.9984
51.2,600000,643520,42,83,72250,133216,0.998777
51.3,555000,702960,46,81,72250,133216,0.986355
51.4,615000,622000,46,85,71868,133216,0.999968
51.5,585000,659920,46,83,71868,133216,0.996391
51.6,600000,658520,45,82,71868,133216,0.997843
51.7,570000,681440,45,78,71868,133216,0.992133
51.8,585000,655160,31,83,5792,133216,0.99681
51.9,330000,912000,13,59,5792,133216,0.819951
52,120000,847440,11,77,5792,133216,0.638819
52.1,120000,1.093e+06,9,58,5792,133216,0.608482
52.2,300000,736120,31,73,74227,133216,0.849494
52.3,540000,701560,32,82,71331,133216,0.983349
52.4,495000,762760,39,77,71331,133216,0.956644
52.5,585000,658520,41,84,71331,133216,0.996517
52.6,555000,693080,44,81,69663,133216,0.987908
