Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
15.9,120000.0,260640.0,510000.0,360000.0,164.0,176.0,96.0,41.0,23168.0,100949.0,90705.0,95233.0,0.828385
16.0,240000.0,468560.0,390000.0,143040.0,180.0,162.0,104.0,98.0,46336.0,100640.0,90210.0,98129.0,0.856982
16.1,180000.0,570000.0,495000.0,0.0,168.0,188.0,71.0,98.0,46336.0,102088.0,90210.0,98129.0,0.643351
16.2,300000.0,360280.0,195000.0,390000.0,190.0,169.0,114.0,72.0,61601.0,102088.0,93106.0,98129.0,0.945731
16.3,525000.0,660000.0,64040.0,0.0,175.0,146.0,118.0,112.0,61412.0,101795.0,92629.0,57920.0,0.545241
16.4,90000.0,441320.0,451400.0,270000.0,191.0,178.0,137.0,94.0,61412.0,103243.0,92629.0,57920.0,0.8181569999999999
16.5,600000.0,51880.0,273160.0,330000.0,195.0,183.0,128.0,118.0,64308.0,103243.0,92629.0,76744.0,0.720937
16.6,195000.0,675000.0,379000.0,0.0,182.0,174.0,145.0,126.0,64308.0,104691.0,92629.0,78192.0,0.611966
16.7,465000.0,45000.0,30000.0,705000.0,196.0,194.0,146.0,83.0,65756.0,85432.0,92629.0,78192.0,0.541078
16.8,285000.0,540000.0,421280.0,0.0,191.0,189.0,121.0,138.0,65160.0,91224.0,88120.0,96606.0,0.705619
16.9,195000.0,291360.0,87680.0,675000.0,209.0,178.0,119.0,93.0,65579.0,102808.0,90840.0,96606.0,0.665313
17.0,795000.0,224960.0,22880.0,202640.0,191.0,160.0,113.0,151.0,67027.0,104427.0,92629.0,99502.0,0.535481
17.1,450000.0,0.0,0.0,797400.0,210.0,160.0,113.0,98.0,68475.0,104427.0,92629.0,99502.0,0.46401
17.2,945000.0,0.0,0.0,300000.0,196.0,160.0,113.0,133.0,69923.0,104427.0,92629.0,99502.0,0.394198
17.3,585000.0,0.0,0.0,675000.0,204.0,160.0,113.0,117.0,71371.0,104427.0,92629.0,100950.0,0.497462
17.4,765000.0,0.0,0.0,480000.0,204.0,160.0,113.0,125.0,72819.0,104427.0,92629.0,100950.0,0.475103
17.5,675000.0,0.0,0.0,570000.0,206.0,160.0,114.0,122.0,74267.0,104427.0,1448.0,102398.0,0.496469
17.6,735000.0,0.0,15000.0,495000.0,205.0,160.0,115.0,123.0,74267.0,104427.0,2896.0,102398.0,0.49334000000000006
17.7,705000.0,0.0,30000.0,510000.0,205.0,160.0,113.0,126.0,75715.0,104427.0,2896.0,103846.0,0.511205
17.8,705000.0,0.0,0.0,555000.0,207.0,160.0,117.0,123.0,77163.0,104427.0,5792.0,103846.0,0.493013
