Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
51.1,390000,855000,45,102,59332,128872,0.87758
51.2,390000,855000,43,104,59332,130320,0.87758
51.3,345000,900000,42,104,54748,130320,0.834221
51.4,390000,870000,41,117,57644,131768,0.873267
51.5,345000,895080,39,129,54748,131768,0.835585
51.6,345000,912000,43,125,54748,131768,0.830932
51.7,375000,867560,39,132,54748,133216,0.864201
51.8,315000,933520,41,128,54748,133216,0.80294
51.9,360000,880600,46,125,57644,133216,0.850272
52,375000,883960,38,130,54748,133216,0.859524
52.1,315000,923640,42,129,54748,133216,0.805508
52.2,405000,847440,40,131,54000,133216,0.889051
52.3,330000,917120,39,131,54000,133216,0.818575
52.4,330000,917120,40,129,51848,133216,0.818575
52.5,360000,885360,34,133,48952,133216,0.848925
52.6,270000,986800,39,127,48952,133216,0.754555
52.7,345000,905480,38,128,48952,133216,0.832713
52.8,330000,907240,36,131,48952,133216,0.821238
52.9,300000,955040,39,127,48952,133216,0.785911
53,360000,883960,32,128,45324,133216,0.84932
53.1,255000,998440,35,129,45324,133216,0.739759
53.2,285000,955040,39,125,45324,133216,0.774015
